LOGO,CATEGORY,RANK,ITEM_ID,IS_NEW
default,Drinkware,90,SM-6931,false
default,Drinkware,91,1628-56,false
default,Drinkware,92,SM-6673,false
default,Drinkware,93,SM-6697,false
default,Drinkware,94,1628-87,false
default,Drinkware,95,1624-92,false
default,Drinkware,96,1627-39,false
default,Drinkware,97,1628-78,false
default,Drinkware,98,1627-28,false
default,Drinkware,99,SM-6820,false
default,Drinkware,100,SM-6941,false
default,Drinkware,101,1600-40,false
default,Drinkware,102,1629-01,false
default,Drinkware,103,1600-61,false
default,Drinkware,104,1627-36,false
default,Drinkware,105,SM-6640,false
default,Drinkware,106,1600-60,false
default,Drinkware,107,1601-96,false
default,Drinkware,108,SM-6784,false
default,Drinkware,109,1600-39,false
default,Drinkware,110,1600-38,false
default,Drinkware,111,1627-40,false
default,Drinkware,112,1628-88,false
default,Drinkware,113,1600-41,false
default,Drinkware,114,1600-37,false
default,Drinkware,115,1600-42,false
default,Drinkware,116,SM-6933,false
default,Drinkware,117,1600-29,false
default,Drinkware,118,1600-43,false
default,Drinkware,119,SM-6949,false
default,Drinkware,120,1600-35,false
default,Drinkware,121,1625-22,false
default,Drinkware,122,1628-91,false
default,Drinkware,123,1627-35,false
default,Drinkware,124,1600-44,false
default,Drinkware,125,1601-97,false
default,Drinkware,126,1600-93,false
default,Drinkware,127,SM-6313,false
default,Drinkware,128,1601-08,false
default,Drinkware,129,1600-73,false
default,Stationery,1,1921-09,false
default,Stationery,2,2700-33,false
default,Stationery,3,0600-10,false
default,Stationery,4,2700-03,false
default,Stationery,5,SM-4101,false
default,Stationery,6,2700-67,false
default,Stationery,7,1065-08,false
default,Stationery,8,2800-29,false
default,Stationery,9,0770-10,false
default,Stationery,10,6620-33,false
default,Stationery,11,2800-11,false
default,Stationery,12,6620-31,false
default,Stationery,13,SM-3468,false
default,Stationery,14,2800-82,false
default,Stationery,15,SM-3455,false
default,Stationery,16,SM-3443,false
default,Stationery,17,1000-10,false
default,Stationery,18,2700-07,false
default,Stationery,19,0551-01,false
default,Stationery,20,SM-3429,false
default,Stationery,21,2700-05,false
default,Stationery,22,2800-45,false
default,Stationery,23,2800-03,false
default,Stationery,24,SM-3484,false
default,Stationery,25,0770-06,false
default,Stationery,26,0600-01,false
default,Stationery,27,2700-02,false
default,Stationery,28,2800-46,false
default,Stationery,29,0911-22,false
default,Stationery,30,1015-86,false
default,Stationery,31,1521-20,false
default,Stationery,32,SM-3414,false
default,Stationery,33,SM-3597,false
default,Stationery,34,2800-01,false
default,Stationery,35,0770-01,false
default,Stationery,36,SM-3457,false
default,Stationery,37,2700-63,false
default,Stationery,38,SM-3616,false
default,Stationery,39,1035-81,false
default,Stationery,40,2800-56,false
default,Stationery,41,2800-79,false
default,Stationery,42,2800-74,false
default,Stationery,43,SM-4801,false
default,Stationery,44,2800-80,true
default,Stationery,45,SM-4347,false
default,Stationery,46,2800-65,false
default,Stationery,47,1015-26,false
default,Stationery,48,0770-77,false
default,Stationery,49,1921-10,false
default,Stationery,50,SM-3412,false
default,Stationery,51,2800-19,false
default,Stationery,52,0551-06,false
default,Stationery,53,SM-4616,false
default,Stationery,54,1066-18,false
default,Stationery,55,SM-3534,false
default,Stationery,56,0911-19,false
default,Stationery,57,0551-10,false
default,Stationery,58,SM-5268,true
default,Stationery,59,2800-71,false
default,Stationery,60,SM-5256,false
default,Stationery,61,SM-3500,false
default,Stationery,62,1921-12,false
default,Stationery,63,SM-5260,false
default,Stationery,64,2800-81,false
default,Stationery,65,0400-10,false
default,Stationery,66,1000-01,false
default,Stationery,67,2700-53,false
default,Stationery,68,2800-21,false
default,Stationery,69,1015-17,false
default,Stationery,70,1067-62,false
default,Stationery,71,SM-3686,false
default,Stationery,72,0911-18,false
default,Stationery,73,0912-01,false
default,Stationery,74,0911-20,false
default,Stationery,75,0911-31,false
default,Stationery,76,2800-58,false
default,Stationery,77,SM-5255,false
default,Stationery,78,0911-07,false
default,Stationery,79,SM-3583,false
default,Stationery,80,2800-39,false
default,Stationery,81,2700-04,false
default,Stationery,82,0911-01,false
default,Stationery,83,3280-10,false
default,Stationery,84,SM-5269,true
default,Stationery,85,0911-32,false
default,Stationery,86,2700-52,false
default,Stationery,87,0911-05,false
default,Stationery,88,2800-94,false
default,Stationery,89,0911-14,false
default,Stationery,90,2800-95,false
default,Stationery,91,1066-55,false
default,Stationery,92,0911-03,false
default,Stationery,93,SM-5270,true
default,Stationery,94,SM-5274,false
default,Stationery,95,1066-56,false
default,Stationery,96,0914-01,false
default,Stationery,97,0913-03,false
default,Stationery,98,1066-61,true
default,Stationery,99,2800-96,false
default,Stationery,100,2900-45,false
default,Stationery,101,SM-5278,false
default,Stationery,102,2900-46,false
default,Stationery,103,0913-01,false
default,Stationery,104,SM-5273,false
default,Stationery,105,1066-54,false
default,Stationery,106,SM-5264,true
default,Stationery,107,SM-5265,false
default,Stationery,108,SM-5277,true
default,Stationery,109,SM-5263,false
default,Stationery,110,1066-60,true
default,Stationery,111,SM-5262,false
default,Stationery,112,0913-02,false
default,Stationery,113,1066-57,false
default,Stationery,114,0911-33,false
default,Stationery,115,SM-5280,true
default,Stationery,116,1066-62,true
default,Stationery,117,2800-98,false
default,Stationery,118,1066-58,false
default,Stationery,119,SM-5283,false
default,Stationery,120,SM-5279,true
default,Stationery,121,SM-5281,true
default,Stationery,122,SM-5282,true
default,Home & Outdoor,1,SM-2430,false
default,Home & Outdoor,2,SM-2425,false
default,Home & Outdoor,3,SM-2348,false
default,Home & Outdoor,4,SM-9732,false
default,Home & Outdoor,5,SM-1528,false
default,Home & Outdoor,6,SM-2428,false
default,Home & Outdoor,7,1070-13,false
default,Home & Outdoor,8,SM-8720,false
default,Home & Outdoor,9,SM-6890,false
default,Home & Outdoor,10,7950-57,false
default,Home & Outdoor,11,SM-1533,false
default,Home & Outdoor,12,SM-3266,false
default,Home & Outdoor,13,7950-52,false
default,Home & Outdoor,14,SM-3345,false
default,Home & Outdoor,15,SM-7823,false
default,Home & Outdoor,16,SM-7952,false
default,Home & Outdoor,17,SM-7821,false
default,Home & Outdoor,18,SM-9737,false
